"filename", "language", "PHP", "comment", "blank", "total"
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Actions\Socialstream\CreateConnectedAccount.php", "PHP", 25, 3, 4, 32
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Actions\Socialstream\CreateUserFromProvider.php", "PHP", 31, 9, 8, 48
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Actions\Socialstream\CreateUserWithTeamsFromProvider.php", "PHP", 41, 12, 10, 63
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Actions\Socialstream\GenerateRedirectForProvider.php", "PHP", 12, 3, 4, 19
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Actions\Socialstream\HandleInvalidState.php", "PHP", 12, 3, 4, 19
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Actions\Socialstream\ResolveSocialiteUser.php", "PHP", 17, 3, 6, 26
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Actions\Socialstream\SetUserPassword.php", "PHP", 18, 3, 5, 26
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Actions\Socialstream\UpdateConnectedAccount.php", "PHP", 40, 6, 9, 55
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Filament\Resources\CarritoResource.php", "PHP", 70, 3, 12, 85
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Filament\Resources\CarritoResource\Pages\CreateCarrito.php", "PHP", 9, 0, 4, 13
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Filament\Resources\CarritoResource\Pages\EditCarrito.php", "PHP", 15, 0, 5, 20
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Filament\Resources\CarritoResource\Pages\ListCarritos.php", "PHP", 15, 0, 5, 20
